Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,2,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ
,2 неделя,,БС,25,,,,3,3,,5,36,,БС,1499,1364,1976,1505,2328,748,1026,2983
,,,модули/блоки,33,,,,7,28,7,4,79,,модули/блоки,1419,3638,3281,2824,2361,1984,5298,3928
,,,Общий итог,58,,,,10,31,7,9,115,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,3,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,3 неделя,,БС,29,,,,37,25,,57,148,,,,,,,,,,
,,,модули/блоки,110,,,,40,56,1,33,240,,,,,,,,,,
,,,Общий итог,139,,,,77,81,1,90,388,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,4,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,4 неделя,,БС,45,4,2,,36,24,,131,242,,,,,,,,,,
,,,модули/блоки,32,11,37,,25,132,87,118,442,,,,,,,,,,
,,,Общий итог,77,15,39,,61,156,87,249,684,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,5,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,5 неделя,,БС,65,39,3,54,32,12,12,68,285,,,,,,,,,,
,,,модули/блоки,36,110,17,80,34,48,376,43,744,,,,,,,,,,
,,,Общий итог,101,149,20,134,66,60,388,111,1029,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
