год,неделя,Расход,МРМосква,МРСеверозапад,МРУрал,Общий итог,Месяц
2017.0,40,БС,37.0,22.0,1.0,245.0,10.0
2017.0,40,модули/блоки,120.0,44.0,,290.0,10.0
2017.0,41,БС,11.0,,13.0,109.0,10.0
2017.0,41,модули/блоки,40.0,,1.0,93.0,10.0
2017.0,42,БС,,21.0,25.0,91.0,10.0
2017.0,42,модули/блоки,,55.0,8.0,81.0,10.0
2017.0,43,БС,11.0,27.0,15.0,192.0,10.0
2017.0,43,модули/блоки,59.0,107.0,1.0,198.0,10.0
2017.0,44,БС,14.0,14.0,23.0,493.0,10.0
2017.0,44,модули/блоки,141.0,23.0,3.0,252.0,10.0
2017.0,45,БС,16.0,17.0,16.0,319.0,11.0
2017.0,45,модули/блоки,117.0,51.0,,263.0,11.0
2017.0,46,БС,41.0,29.0,9.0,514.0,11.0
2017.0,46,модули/блоки,148.0,81.0,3.0,466.0,11.0
2017.0,47,БС,26.0,16.0,10.0,405.0,11.0
2017.0,47,модули/блоки,87.0,65.0,,346.0,11.0
2017.0,48,БС,42.0,38.0,41.0,677.0,11.0
2017.0,48,модули/блоки,79.0,115.0,9.0,332.0,11.0
2017.0,49,БС,43.0,35.0,49.0,840.0,12.0
2017.0,49,модули/блоки,105.0,117.0,5.0,447.0,12.0
2017.0,50,БС,24.0,16.0,47.0,453.0,12.0
2017.0,50,модули/блоки,108.0,43.0,7.0,303.0,12.0
2017.0,51,БС,25.0,33.0,62.0,561.0,12.0
2017.0,51,модули/блоки,143.0,63.0,18.0,336.0,12.0
2017.0,52,БС,15.0,72.0,43.0,291.0,12.0
2017.0,52,модули/блоки,113.0,86.0,,311.0,12.0
2018.0,2,БС,7.0,6.0,4.0,31.0,1.0
2018.0,2,модули/блоки,32.0,6.0,,69.0,1.0
2018.0,3,БС,25.0,6.0,3.0,71.0,1.0
2018.0,3,модули/блоки,75.0,13.0,,101.0,1.0
2018.0,4,БС,10.0,4.0,46.0,123.0,1.0
2018.0,4,модули/блоки,77.0,3.0,3.0,118.0,1.0
2018.0,5,БС,19.0,16.0,51.0,223.0,1.0
2018.0,5,модули/блоки,39.0,32.0,2.0,106.0,1.0
2018.0,6,БС,62.0,12.0,9.0,319.0,2.0
2018.0,6,модули/блоки,71.0,15.0,3.0,162.0,2.0
2018.0,7,БС,22.0,19.0,34.0,217.0,2.0
2018.0,7,модули/блоки,59.0,49.0,7.0,179.0,2.0
2018.0,8,БС,38.0,17.0,39.0,486.0,2.0
2018.0,8,модули/блоки,187.0,20.0,4.0,470.0,2.0
2018.0,9,БС,22.0,18.0,22.0,299.0,2.0
2018.0,9,модули/блоки,75.0,52.0,,305.0,2.0
2018.0,10,БС,19.0,24.0,21.0,507.0,3.0
2018.0,10,модули/блоки,101.0,32.0,16.0,584.0,3.0
2018.0,11,БС,28.0,26.0,55.0,490.0,3.0
2018.0,11,модули/блоки,70.0,86.0,27.0,441.0,3.0
2018.0,12,БС,43.0,56.0,21.0,473.0,3.0
2018.0,12,модули/блоки,163.0,62.0,1.0,405.0,3.0
2018.0,13,БС,14.0,46.0,30.0,429.0,3.0
2018.0,13,модули/блоки,161.0,66.0,41.0,422.0,3.0
2018.0,14,БС,42.0,42.0,23.0,317.0,4.0
