Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Сумма по полю МРМосква,Названия столбцов,,,,,,,,,,,,,,,,,,,
,2021,,,,,,,,,,,,2021 Итог,2022.0,,,,2022 Итог,,
Названия строк,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,,1.0,2.0,3.0,4.0,,,
БС,43,135.0,176.0,175.0,188.0,236.0,277.0,200.0,211.0,212.0,129.0,92.0,2074,87.0,146.0,25.0,45.0,303,,
модули/блоки,121,201.0,292.0,619.0,365.0,496.0,835.0,977.0,1084.0,1256.0,737.0,775.0,7758,715.0,831.0,299.0,253.0,2098,,1 БС=4модули/блоки
Общий итог,164,336.0,468.0,794.0,553.0,732.0,1112.0,1177.0,1295.0,1468.0,866.0,867.0,9832,802.0,977.0,324.0,298.0,2401,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Сумма по полю МРСеверозапад,Названия столбцов,,,,,,,,,,,,,,,,,,,
,2021,,,,,,,,,,,,2021 Итог,2022.0,,,,2022 Итог,,
Названия строк,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,,1.0,2.0,3.0,4.0,,,
БС,54,300.0,238.0,244.0,214.0,199.0,135.0,165.0,332.0,132.0,228.0,275.0,2516,97.0,168.0,59.0,18.0,342,,
модули/блоки,80,493.0,560.0,600.0,609.0,286.0,89.0,132.0,239.0,219.0,215.0,290.0,3812,300.0,274.0,272.0,170.0,1016,,1 БС=3модули/блоки
Общий итог,134,793.0,798.0,844.0,823.0,485.0,224.0,297.0,571.0,351.0,443.0,565.0,6328,397.0,442.0,331.0,188.0,1358,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Сумма по полю МРУрал,Названия столбцов,,,,,,,,,,,,,,,,,,,
,2021,,,,,,,,,,,,2021 Итог,2022.0,,,,2022 Итог,,
Названия строк,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,,1.0,2.0,3.0,4.0,,,
БС,64,145.0,86.0,65.0,49.0,149.0,94.0,119.0,96.0,171.0,94.0,172.0,1304,32.0,86.0,32.0,8.0,158,,
модули/блоки,264,261.0,205.0,454.0,262.0,205.0,219.0,151.0,60.0,117.0,71.0,479.0,2748,81.0,98.0,38.0,34.0,251,,1 БС=3модули/блоки
Общий итог,328,406.0,291.0,519.0,311.0,354.0,313.0,270.0,156.0,288.0,165.0,651.0,4052,113.0,184.0,70.0,42.0,409,,
