№ Площадки,Регион,Площадка,Тип БС,Диапазон,"Дата ТЭ 
(ЧЧ.ММ.ГГ)","Год 
плана",exМР
PL_29_00594,Архангельская область,GF,БС,LTE-1800,2021-02-27,2021,МР Северо-Запад
PL_29_00594,Архангельская область,GF,БС,NI-1800,2021-02-27,2021,МР Северо-Запад
PL_29_00599,Архангельская область,GF,БС,LTE-1800,2021-04-29,2021,МР Северо-Запад
PL_29_00599,Архангельская область,GF,БС,NI-1800,2021-04-29,2021,МР Северо-Запад
PL_29_0070,Архангельская область,CS,БС,LTE-2600-TDD,2021-04-15,2021,МР Северо-Запад
PL_29_00734,Архангельская область,CS,БС,LTE-2600,2021-07-30,2021,МР Северо-Запад
PL_29_00832,Архангельская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_29_00837,Архангельская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_29_0085,Архангельская область,CS,БС,LTE-2600,2021-09-25,2021,МР Северо-Запад
PL_29_00871,Архангельская область,GF,БС,GSM-900,2021-05-01,2021,МР Северо-Запад
PL_29_00871,Архангельская область,GF,БС,LTE-1800,2021-05-01,2021,МР Северо-Запад
PL_29_00871,Архангельская область,GF,БС,NI-1800,2021-05-01,2021,МР Северо-Запад
PL_29_0107,Архангельская область,CS,БС,NI-1800,2021-06-25,2021,МР Северо-Запад
PL_29_0107,Архангельская область,CS,БС,LTE-1800,2021-06-25,2021,МР Северо-Запад
PL_29_0352,Архангельская область,CS,БС,LTE-2600-TDD,2021-05-26,2021,МР Северо-Запад
PL_29_0406,Архангельская область,CS,БС,LTE-2600,2021-06-27,2021,МР Северо-Запад
PL_29_0506,Архангельская область,CS,БС,LTE-2600,2021-08-30,2021,МР Северо-Запад
PL_29_0637,Архангельская область,CS,БС,LTE-2600,2021-02-04,2021,МР Северо-Запад
PL_29_0664,Архангельская область,CS,БС,NI-1800,2021-07-30,2021,МР Северо-Запад
PL_29_0664,Архангельская область,CS,БС,LTE-1800,2021-07-30,2021,МР Северо-Запад
PL_29_0705,Архангельская область,CS,БС,NI-1800,2021-06-27,2021,МР Северо-Запад
PL_83_0001,Архангельская область,CS,БС,NI-1800,2021-12-30,2021,МР Северо-Запад
PL_83_0008,Архангельская область,CS,БС,NI-1800,2021-09-30,2021,МР Северо-Запад
PL_83_0008,Архангельская область,CS,БС,LTE-1800,2021-09-30,2021,МР Северо-Запад
PL_83_00117,Архангельская область,GF,БС,GSM-900,2021-03-30,2021,МР Северо-Запад
PL_83_00421,Архангельская область,GF,БС,GSM-900,2021-03-30,2021,МР Северо-Запад
PL_83_00421,Архангельская область,GF,БС,LTE-1800,2021-03-30,2021,МР Северо-Запад
PL_83_00421,Архангельская область,GF,БС,NI-1800,2021-03-30,2021,МР Северо-Запад
PL_83_00421,Архангельская область,GF,БС,UMTS-2100,2021-03-30,2021,МР Северо-Запад
