№ Площадки,Регион,Диапазон,Тип БС,"Дата ТЭ 
(ЧЧ.ММ.ГГ)","Год 
плана",exМР
PL_10_0062,Республика Карелия,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_10_0062,Республика Карелия,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_10_0062,Республика Карелия,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_10_0305,Республика Карелия,GSM-900,БС,2021-05-21,2021,МР Северо-Запад
PL_10_0305,Республика Карелия,UMTS-2100,БС,2021-05-21,2021,МР Северо-Запад
PL_10_0305,Республика Карелия,LTE-1800,БС,2021-05-21,2021,МР Северо-Запад
PL_10_0516,Республика Карелия,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_10_0516,Республика Карелия,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_10_0806,Республика Карелия,GSM-900,БС,2021-04-02,2021,МР Северо-Запад
PL_10_0806,Республика Карелия,UMTS-2100,БС,2021-04-02,2021,МР Северо-Запад
PL_10_0806,Республика Карелия,LTE-1800,БС,2021-04-02,2021,МР Северо-Запад
PL_10_0809,Республика Карелия,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_10_0809,Республика Карелия,DCS-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_10_0809,Республика Карелия,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_10_0809,Республика Карелия,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_10_0809,Республика Карелия,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0261,Республика Коми,UMTS-2100,БС,2021-04-16,2021,МР Северо-Запад
PL_11_0269,Республика Коми,UMTS-2100,БС,2021-01-27,2021,МР Северо-Запад
PL_11_0269,Республика Коми,LTE-1800,БС,2021-01-27,2021,МР Северо-Запад
PL_11_0285,Республика Коми,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0285,Республика Коми,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0285,Республика Коми,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0286,Республика Коми,GSM-900,БС,2021-07-30,2021,МР Северо-Запад
PL_11_0290,Республика Коми,GSM-900,БС,2021-04-02,2021,МР Северо-Запад
PL_11_0290,Республика Коми,UMTS-2100,БС,2021-04-02,2021,МР Северо-Запад
PL_11_0290,Республика Коми,LTE-2600,БС,2021-04-02,2021,МР Северо-Запад
PL_11_0329,Республика Коми,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0329,Республика Коми,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0329,Республика Коми,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0333,Республика Коми,GSM-900,БС,2021-04-16,2021,МР Северо-Запад
PL_11_0357,Республика Коми,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0357,Республика Коми,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0357,Республика Коми,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_11_00376,Республика Коми,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_11_00376,Республика Коми,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_11_00376,Республика Коми,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_11_00391,Республика Коми,UMTS-2100,БС,2021-04-30,2021,МР Северо-Запад
PL_11_00392,Республика Коми,UMTS-2100,БС,2021-04-23,2021,МР Северо-Запад
PL_11_0407,Республика Коми,GSM-900,БС,2021-02-17,2021,МР Северо-Запад
PL_11_0407,Республика Коми,UMTS-2100,БС,2021-02-17,2021,МР Северо-Запад
PL_11_0409,Республика Коми,GSM-900,БС,2021-04-02,2021,МР Северо-Запад
