Дата создания заказа,Дата утверждения заказа,Номер контракта,Номер строки в заказе/релизе,Код позиции ЕНС,Наименование позиции ЕНС,Единица измерения,Заказанное количество,Полученное количество,В пути,Длина,Ширина,Высота,Объём,Общий объём,Организация-получатель,Дата исполнения заказа/договора
2021-11-18,2021-12-21,,4,249.022.000267,Оптический приемопередатчик SFP+ 1310nm 10Gb/s -8.2 0.5dBm -12.6dBm LC SM 10km (OSX001002),штука,164,0,164,",08",",01",",01",",000008",",001312",К05,02.02.2022
2021-11-18,2021-12-21,,5,249.022.000251,Оптический приемопередатчик SFP+ 1550nm 9.95-11.1Gb/s -4.7-4dBm -14.1dBm LC SM 40km (OMXD30002),штука,50,0,50,",1",",02",",02",",00004",",002",К05,02.02.2022
2021-08-27,2021-09-15,D1003239_15(17),1,161.346.000100,"Блок внешний РРЛ Huawei RTN 380AX, 80ГГц, 3Гбит/с, 750МГц, PoE and DC, Config.2, High",штука,50,0,50,",1",",38",",58",",02204","1,102",107,29.01.2022
2021-08-27,2021-09-15,D1003239_15(17),2,161.346.000099,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, Low",штука,50,0,50,",1",",38",",58",",02204","1,102",107,29.01.2022
2021-08-27,2021-09-15,D1003239_15(17),3,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,100,0,100,",38",",1",",23",",00874",",874",107,29.01.2022
2021-08-27,2021-09-15,D1003239_15(17),4,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,200,0,200,",04",",14",",17",",000952",",1904",107,29.01.2022
2021-08-27,2021-09-15,D1003239_15(17),5,239.022.000060,"Кабель питания Huawei 2х2.5мм2, black, LSZH, Outdoor",Метр,5000,0,5000,",0683",",0683",",0341",",000159072749",",795363745",107,29.01.2022
2021-08-27,2021-09-15,D1003239_15(17),6,181.022.000008,"Стяжка кабельная Huawei 300х7.6мм, PA66, устойчива к УФ излучению и холоду, цвет черный (OEWR-CbaleTie02)",штука,5000,0,5000,",3",",01",",01",",00003",",15",107,29.01.2022
2021-08-27,2021-09-15,D1003239_15(17),7,241.022.000112,"Кабель оптический DLC/UPC, 2FC/UPC, SM, 70м (FDLCUPC07)",штука,100,0,100,",37",",36",",37",",016428","1,6428",107,29.01.2022
2021-08-27,2021-09-15,D1003239_15(17),8,244.022.000030,"Сборка Huawei кабельная медная 75м, RJ-45-RJ-45, Outdoor",штука,100,0,100,",385",",355",",1",",0136675","1,36675",107,29.01.2022
2021-08-27,2021-09-15,D1003239_15(17),9,157.346.000142,"Антенна РРЛ Huawei 80ГГц, 0.6м, Single, Direct (XMC), Smart E-Band (A80S06MAC-WB)",штука,100,0,100,",6",",6",",6",",216","21,6",107,29.01.2022
2021-09-29,2021-10-18,D1003239_15(17),1,161.346.000100,"Блок внешний РРЛ Huawei RTN 380AX, 80ГГц, 3Гбит/с, 750МГц, PoE and DC, Config.2, High",штука,3,0,3,",1",",38",",58",",02204",",06612",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),2,161.346.000099,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, Low",штука,3,0,3,",1",",38",",58",",02204",",06612",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),3,157.346.000097,Антенна РРЛ Huawei 80ГГц 0.3м UHP Single (A80S03MAC-3NX),штука,6,0,6,",25",",46",",48",",0552",",3312",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),4,160.346.000040,"Блок внутренний IDU Huawei RTN 905 2E, 1+0, Конфигурации 2.1A (IP)",штука,8,0,8,",6",",4",",18",",0432",",3456",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),5,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,4,0,4,",58",",38",",16",",035264",",141056",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),6,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,8,0,8,",38",",23",",1",",00874",",06992",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),7,161.346.000112,"Радиоблок внешний ODU Huawei RTN XMC-3 18ГГц, 1010МГц, SB A, Low",штука,1,0,1,",45",",45",",25",",050625",",050625",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),8,161.346.000111,"Радиоблок внешний ODU Huawei RTN XMC-3 18ГГц, 1010МГц, SB A, High",штука,1,0,1,",45",",45",",25",",050625",",050625",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),9,161.346.000114,"Радиоблок внешний ODU Huawei RTN XMC-3 18ГГц, 1010МГц, SB B, Low",штука,1,0,1,",37",",29",",11",",011803",",011803",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),10,161.346.000113,"Радиоблок внешний ODU Huawei RTN XMC-3 18ГГц, 1010МГц, SB B, High",штука,1,0,1,",36",",28",",11",",011088",",011088",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),11,161.346.000136,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB A, Low",штука,2,0,2,",59",",39",",31",",071331",",142662",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),12,161.346.000137,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB A, High",штука,2,0,2,",59",",39",",31",",071331",",142662",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),13,161.346.000126,"Радиоблок внешний ODU Huawei RTN XMC-3W-18G 18ГГц, 1010МГц, SB AA, High",штука,2,0,2,",37",",28",",12",",012432",",024864",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),14,161.346.000127,"Радиоблок внешний ODU Huawei RTN XMC-3W-18G 18ГГц, 1010МГц, SB AA, Low",штука,2,0,2,",37",",28",",12",",012432",",024864",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),15,157.346.000104,Антенна РРЛ Huawei 18Ггц 0.6м UHP Single (A18S06MAC-3NX),штука,5,0,5,",79",",7",",35",",19355",",96775",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),16,157.346.000138,"Антенна РРЛ Huawei 18ГГц, 0.9м UHP Single (A18S09MAC-3NX)",штука,3,0,3,",53","1,1","1,265",",737495","2,212485",304,21.12.2021
