Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Место хранения,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,0001m:Москва и Московская область_моб
,,,,,,,,,,,,,,,,0010000m:Корпоративный центр Группы МТС_моб
,,,,,,,,,,10001.0,Москва,СОХ,107.0,,,0300m:Санкт-Петербург и Ленинградская область
,,,,,,,,,Владимир#,10101.0,Владимир,,106.0,,,0400m:Нижегородская область_моб
,,,,,,,,,Иваново#,10102.0,Иваново,,106.0,,,0405m:Республика Татарстан_моб
,,,,,,,,,Калуга#,10103.0,Калуга,,106.0,,,0411m:Самарская область_моб
,,,,,,,,,Кострома#,10104.0,Кострома,,106.0,,,0413m:Республика Башкортостан_моб
,,,,,,,,,Рязань#,10105.0,Рязань,,106.0,,,0611m:Ростовская область_моб
,,,,,,,,,Смоленск#,10106.0,Смоленск,,106.0,,,0700m:Свердловская область
,,,,,,,,,Тамбов#,10107.0,Тамбов,,106.0,,,0707m:Пермский край_моб
,,,,,,,,,Тверь#,10108.0,Тверь,,106.0,,,0800m:Новосибирская область_моб
,,,,,,,,,Тула#,10109.0,Тула,,106.0,,,0802m:Красноярский край_моб
,,,,,,,,,Ярославль#,10110.0,Ярославль,,106.0,,,0900m:Приморский край_моб
,,,,,,,,,Орел#,10112.0,Орел,,106.0,,,0042:Дирекция регионального развития - кластер Рост
,,,,,,,,,Брянск#,10113.0,Брянск,,106.0,,,0101m:Владимирская область_моб
,,,,,,,,,Воронеж#,10114.0,Воронеж,,106.0,,,0113m:Брянская область_моб
,,,,,,,,,Курск#,10115.0,Курск,,106.0,,,0117m:Белгородская область_моб
,,,,,,,,,Липецк#,10116.0,Липецк,,106.0,,,0308m:Республика Карелия_моб
,,,,,,,,,Белгород#,10117.0,Белгород,,106.0,,,0704m:Ханты-Мансийский авт. округ_моб
,,,,,,,,,СПб#,10300.0,СПб,СОХ,304.0,,,0807m:Томская область_моб
,,,,,,,,,Вологда#,10302.0,Вологда,,304.0,,,0114m:Воронежская область_моб
,,,,,,,,,Калинингр#,10303.0,Калинингр,,304.0,,,0302m:Вологодская область_моб
,,,,,,,,,Мурманск#,10304.0,Мурманск,,304.0,,,0412m:Оренбургская область_моб
,,,,,,,,,Новгород#,10306.0,Новгород,,304.0,,,0414m:Саратовская область_моб
,,,,,,,,,Псков#,10307.0,Псков,,304.0,,,0607m:Республика Дагестан Махачкала_моб
,,,,,,,,,Карелия#,10308.0,Карелия,,304.0,,,0612m:Ставропольский край Ставрополь_моб
,,,,,,,,,Респ.Коми#,10309.0,Респ.Коми,,304.0,,,0702m:Курганская область_моб
,,,,,,,,,Арханг-ск#,10310.0,Арханг-ск,,304.0,,,0705m:Челябинская область_моб
,,,,,,,,,ННовгород#,10400.0,ННовгород,СОХ,405.0,,,0804m:Республика Хакасия_моб
,,,,,,,,,Киров#,10402.0,Киров,,405.0,,,0806m:Омская область_моб
,,,,,,,,,МарийЭл#,10403.0,МарийЭл,,405.0,,,0811m:Алтайский край_моб
,,,,,,,,,Мордовия#,10404.0,Мордовия,,405.0,,,0908m:Республика Саха Якутия_моб
,,,,,,,,,Татарстан#,10405.0,Татарстан,,405.0,,,0912m:Иркутская область_моб
,,,,,,,,,Удмуртия#,10406.0,Удмуртия,,405.0,,,0613m:Чеченская Республика Грозный_моб
,,,,,,,,,Чувашия#,10407.0,Чувашия,,405.0,,,0706m:Ямало-Ненецкий авт. округ_моб
,,,,,,,,,Самара#,10411.0,Самара,,405.0,,,0043:Дирекция регионального развития - кластер Доход
,,,,,,,,,Оренбург#,10412.0,Оренбург,,405.0,,,0103m:Калужская область_моб
,,,,,,,,,Башкорт-н#,10413.0,Башкорт-н,,405.0,,,0105m:Рязанская область_моб
,,,,,,,,,Саратов#,10414.0,Саратов,,405.0,,,0107m:Тамбовская область_моб
,,,,,,,,,Ульяновск#,10415.0,Ульяновск,,405.0,,,0307m:Псковская область_моб
,,,,,,,,,Пенза#,10421.0,Пенза,,405.0,,,0309m:Республика Коми_моб
,,,,,,,,,Краснодар#,10600.0,Краснодар,СОХ,606.0,,,0402m:Кировская область Киров_моб
,,,,,,,,,Волгоград#,10602.0,Волгоград,,606.0,,,0406m:Удмуртская Республика_моб
,,,,,,,,,КБР#,10603.0,КБР,,606.0,,,0600m:Краснодарский край_моб
,,,,,,,,,КЧР#,10604.0,КЧР,,606.0,,,0610m:Респ Сев. Осетия-Алания Владикавказ_моб
,,,,,,,,,Астрахань#,10605.0,Астрахань,,606.0,,,0703m:Тюменская область_моб
,,,,,,,,,Дагестан#,10607.0,Дагестан,,606.0,,,0805m:Республика Алтай_моб
,,,,,,,,,Ингушетия#,10608.0,Ингушетия,,606.0,,,0902m:Амурская обл._моб
,,,,,,,,,РСОАлания#,10610.0,РСОАлания,,606.0,,,0904m:Камчатская область_моб
,,,,,,,,,Ростов#,10611.0,Ростов,,606.0,,,0906m:Магаданская область_моб
,,,,,,,,,СтавропКр#,10612.0,СтавропКр,,606.0,,,0909m:Сахалинская обл._моб
,,,,,,,,,Чечня#,10613.0,Чечня,,606.0,,,0010915:Филиал ОАО МТС в Забайкальском крае_моб
,,,,,,,,,Екат-бург#,10700.0,Екатеринбург,СОХ,702.0,,,0490915:ЗАО Сибинтертелеком г. Чита_моб
,,,,,,,,,Курган#,10702.0,Курган,,702.0,,,0104m:ОАО МТС филиал в г. Кострома_моб
,,,,,,,,,Тюмень#,10703.0,Тюмень,,702.0,,,0106m:Смоленская область_моб
,,,,,,,,,ХМАО#,10704.0,ХМАО,,702.0,,,0108m:Тверская область_моб
,,,,,,,,,Челябинск#,10705.0,Челябинск,,702.0,,,0910m:Хабаровский край_моб
,,,,,,,,,ЯНАО#,10706.0,ЯНАО,,702.0,,,0044:Дирекция регионального развития - кластер Баланс
,,,,,,,,,Пермь#,10707.0,Пермь,,702.0,,,0102m:Ивановская область_моб
,,,,,,,,,Новосиб#,10800.0,Новосибирск,СОХ,803.0,,,0110m:Ярославская область_моб
,,,,,,,,,Красноярс#,10802.0,Красноярс,,803.0,,,0112m:Орловская область_моб
,,,,,,,,,Хакасия#,10804.0,Хакасия,,803.0,,,0306m:Новгородская область_моб
,,,,,,,,,Омск#,10806.0,Омск,,803.0,,,0310m:Архангельская область_моб
,,,,,,,,,Томск#,10807.0,Томск,,803.0,,,0403m:Республика Марий Эл_моб
,,,,,,,,,Респ.Тыва#,10808.0,Респ.Тыва,,803.0,,,0913m:Республика Бурятия_моб
,,,,,,,,,Кемерово#,10809.0,Кемерово,,803.0,,,0109m:Тульская область_моб
,,,,,,,,,АлтайскКр#,10811.0,Алтайский Край,,803.0,,,0115m:Курская область_моб
,,,,,,,,,РеспАлтай#,10811.0,РеспАлтай,,803.0,,,0116m:Липецкая область_моб
,,,,,,,,,Примор.кр#,10900.0,Примор.кр,,906.0,,,0303m:Калининградская область_моб
,,,,,,,,,Амур.обл#,10902.0,Амур.обл,,906.0,,,0304m:Мурманская область_моб
,,,,,,,,,Камчатка#,10904.0,Камчатка,,906.0,,,0404m:Республика Мордовия_моб
,,,,,,,,,Магадан#,10906.0,Магадан,,906.0,,,0407m:Чувашская республика_моб
,,,,,,,,,Якутск#,10908.0,Якутск,СОХ,907.0,,,0415m:Ульяновская область_моб
,,,,,,,,,Якутия#,10908.0,Якутск,СОХ,907.0,,,0421m:Пензенская область_моб
,,,,,,,,,Сахалин#,10909.0,Сахалин,,906.0,,,0602m:Волгоградская область_моб
,,,,,,,,,Хабаровск#,10910.0,Хабаровск,СОХ,906.0,,,0603m:Кабардино-Балкарская Республика Нальчик_моб
,,,,,,,,,Иркутск#,10912.0,Иркутск,СОХ,905.0,,,0604m:Карачаево-Черкесская Республика Черкесск_моб
,,,,,,,,,Бурятия#,10913.0,Бурятия,,905.0,,,0605m:Астраханская область_моб
,,,,,,,,,Забайк.кр#,10915.0,Забайк.кр,,905.0,,,0608m:Республика Ингушетия Магас_моб
,,,,,,,,,Норильск#,,Норильск,,803.0,,,0808m:Республика Тыва_моб
,,,,,,,,,,,,,,,,0809m:Кемеровская область Кемерово_моб
