Номер строки в заказе/релизе,Код позиции ЕНС,Наименование позиции ЕНС,Единица измерения,Заказанное количество,Полученное количество,В пути,Длина,Ширина,Высота,Объём,Общий объём,Организация-получатель,Дата исполнения заказа/договора,Группа,Наименовнание группы,БС,Месяц,Год
1.0,204.346.000194,Карта 12-портовая интерфейсная 10GBase LAN/WAN-SFP+ Integrated Line Processing Unit(LPUI-120),штука,2.0,0.0,2.0,",05",",2",",2",",002",0.004,702,26.01.2021,204.0,Мультиплексоры,0,1.0,2021.0
2.0,249.022.000342,"Материнский модуль для линейных плат (тип LPUF-51, 2 слота) E CR5DLPUF517E",штука,2.0,0.0,2.0,",75",",56",",17",",0714",0.1428,702,26.01.2021,249.0,Мультиплексоры,0,1.0,2021.0
1.0,249.022.000301,Карта мультиплексора Flexible Card Line Processing Unit (LPUF-120) (CR5DLPUFB070),штука,1.0,0.0,1.0,",17",",57",",75",",072675",0.072675,702,12.01.2021,249.0,Мультиплексоры,0,1.0,2021.0
2.0,249.022.000302,Карта 6-портовая 6-Port 10GBase LAN/WAN-SFP+ Flexible Card A(P120-A) (CR5D0L6XFA70),штука,1.0,0.0,1.0,",09",",26",",34",",007956",0.007956,702,12.01.2021,249.0,Мультиплексоры,0,1.0,2021.0
1.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,24.0,0.0,24.0,",38",",23",",1",",00874",0.20976,304,15.03.2021,181.0,РРЛ,0,3.0,2021.0
2.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,4.0,0.0,4.0,",38",",23",",1",",00874",0.03496,304,15.03.2021,181.0,РРЛ,0,3.0,2021.0
7.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,24.0,0.0,24.0,",38",",23",",1",",00874",0.20976,702,15.03.2021,181.0,РРЛ,0,3.0,2021.0
8.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,4.0,0.0,4.0,",38",",23",",1",",00874",0.03496,702,15.03.2021,181.0,РРЛ,0,3.0,2021.0
9.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,28.0,0.0,28.0,",38",",23",",1",",00874",0.24472,702,15.03.2021,181.0,РРЛ,0,3.0,2021.0
10.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,8.0,0.0,8.0,",38",",23",",1",",00874",0.06992,702,15.03.2021,181.0,РРЛ,0,3.0,2021.0
11.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,4.0,0.0,4.0,",38",",23",",1",",00874",0.03496,702,15.03.2021,181.0,РРЛ,0,3.0,2021.0
1.0,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,16.0,0.0,16.0,",04",",14",",17",",000952",0.015232,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
2.0,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,4.0,0.0,4.0,",4",",6",",2",,,304,01.04.2021,160.0,РРЛ,0,4.0,2021.0
3.0,161.346.000107,"Радиоблок внешний ODU Huawei RTN XMC-3 13ГГц, 266МГц, SB A, High",штука,2.0,0.0,2.0,",37",",28",",115",",011914",0.023828,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
4.0,161.346.000108,"Радиоблок внешний ODU Huawei RTN XMC-3 13ГГц, 266МГц, SB A, Low",штука,2.0,0.0,2.0,",37",",28",",115",",011914",0.023828,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
5.0,161.346.000111,"Радиоблок внешний ODU Huawei RTN XMC-3 18ГГц, 1010МГц, SB A, High",штука,2.0,0.0,2.0,",28",",35",",11",",01078",0.02156,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
6.0,161.346.000112,"Радиоблок внешний ODU Huawei RTN XMC-3 18ГГц, 1010МГц, SB A, Low",штука,2.0,0.0,2.0,",28",",35",",11",",01078",0.02156,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
7.0,157.346.000117,"Антенна РРЛ Huawei 13ГГц, 1.2м UHP Dual Polarization (A13D12MAC-3NX)",штука,2.0,0.0,2.0,"1,4",",38","1,55",",8246",1.6492,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
8.0,157.346.000130,Антенна РРЛ Huawei 18ГГц 0.9м UHP Dual Polarization (A18D09MAC-3NX),штука,2.0,0.0,2.0,",4",",9",",9",,,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
9.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,16.0,0.0,16.0,1,1,",000448",",000448",0.007168,304,01.04.2021,249.0,Мультиплексоры,0,4.0,2021.0
10.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,680.0,0.0,680.0,",063",",062",",051",",000199174",0.13543832,304,01.04.2021,238.0,АФУ,0,4.0,2021.0
11.0,160.346.000040,"Блок внутренний IDU Huawei RTN 905 2E, 1+0, Конфигурации 2.1A (IP)",штука,2.0,0.0,2.0,",4",",6",",15",,,304,01.04.2021,160.0,РРЛ,0,4.0,2021.0
12.0,161.346.000111,"Радиоблок внешний ODU Huawei RTN XMC-3 18ГГц, 1010МГц, SB A, High",штука,1.0,0.0,1.0,",28",",35",",11",",01078",0.01078,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
13.0,161.346.000112,"Радиоблок внешний ODU Huawei RTN XMC-3 18ГГц, 1010МГц, SB A, Low",штука,1.0,0.0,1.0,",28",",35",",11",",01078",0.01078,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
14.0,157.346.000105,Антенна РРЛ Huawei 18Ггц 1.2м UHP Single (A18S12MAC-3NX),штука,2.0,0.0,2.0,"1,4",",38","1,55",",8246",1.6492,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
15.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,4.0,0.0,4.0,1,1,",000448",",000448",0.001792,304,01.04.2021,249.0,Мультиплексоры,0,4.0,2021.0
16.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,140.0,0.0,140.0,",063",",062",",051",",000199174",0.02788436,304,01.04.2021,238.0,АФУ,0,4.0,2021.0
17.0,160.346.000040,"Блок внутренний IDU Huawei RTN 905 2E, 1+0, Конфигурации 2.1A (IP)",штука,8.0,0.0,8.0,",4",",6",",15",,,304,01.04.2021,160.0,РРЛ,0,4.0,2021.0
18.0,161.346.000144,"Радиоблок внешний ODU Huawei RTN XMC-3W-13G 13ГГц, 266МГц, SB AA, Low",штука,3.0,0.0,3.0,",2",",3",",2",",012",0.036,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
19.0,161.346.000145,"Радиоблок внешний ODU Huawei RTN XMC-3W-13G 13ГГц, 266МГц, SB AA, High",штука,3.0,0.0,3.0,",2",",3",",2",",012",0.036,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
20.0,161.346.000109,"Радиоблок внешний ODU Huawei RTN XMC-3 13ГГц, 266МГц, SB B, High",штука,1.0,0.0,1.0,",28",",35",",11",",01078",0.01078,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
21.0,161.346.000110,"Радиоблок внешний ODU Huawei RTN XMC-3 13ГГц, 266МГц, SB B, Low",штука,1.0,0.0,1.0,",28",",35",",11",",01078",0.01078,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
22.0,157.346.000100,Антенна РРЛ Huawei 13Ггц 0.6м UHP Single (A13S06MAC-3NX),штука,5.0,0.0,5.0,",79",",695",",33",",1811865",0.9059325,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
23.0,157.346.000101,Антенна РРЛ Huawei 13Ггц 1.2м UHP Single (A13S12MAC-3NX),штука,3.0,0.0,3.0,"1,38",",38","1,55",",81282",2.43846,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
24.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,16.0,0.0,16.0,1,1,",000448",",000448",0.007168,304,01.04.2021,249.0,Мультиплексоры,0,4.0,2021.0
25.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,560.0,0.0,560.0,",063",",062",",051",",000199174",0.11153744,304,01.04.2021,238.0,АФУ,0,4.0,2021.0
26.0,160.346.000040,"Блок внутренний IDU Huawei RTN 905 2E, 1+0, Конфигурации 2.1A (IP)",штука,2.0,0.0,2.0,",4",",6",",15",,,304,01.04.2021,160.0,РРЛ,0,4.0,2021.0
27.0,161.346.000107,"Радиоблок внешний ODU Huawei RTN XMC-3 13ГГц, 266МГц, SB A, High",штука,1.0,0.0,1.0,",37",",28",",115",",011914",0.011914,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
28.0,161.346.000108,"Радиоблок внешний ODU Huawei RTN XMC-3 13ГГц, 266МГц, SB A, Low",штука,1.0,0.0,1.0,",37",",28",",115",",011914",0.011914,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
29.0,157.346.000104,Антенна РРЛ Huawei 18Ггц 0.6м UHP Single (A18S06MAC-3NX),штука,2.0,0.0,2.0,",79",",7",",35",",19355",0.3871,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
30.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,4.0,0.0,4.0,1,1,",000448",",000448",0.001792,304,01.04.2021,249.0,Мультиплексоры,0,4.0,2021.0
31.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,140.0,0.0,140.0,",063",",062",",051",",000199174",0.02788436,304,01.04.2021,238.0,АФУ,0,4.0,2021.0
32.0,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,2.0,0.0,2.0,",4",",6",",2",,,304,01.04.2021,160.0,РРЛ,0,4.0,2021.0
33.0,161.346.000128,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, Low",штука,1.0,0.0,1.0,",38",",36",",16",",021888",0.021888,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
34.0,161.346.000129,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, High",штука,1.0,0.0,1.0,",38",",36",",16",",021888",0.021888,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
35.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,4.0,0.0,4.0,",38",",23",",1",",00874",0.03496,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
36.0,157.346.000126,"Антенна РРЛ Huawei 13Ггц, 1.8м для XMC-5D UHP Dual Polarization (A13D18MDD-3NX)",штука,2.0,0.0,2.0,2,",45","2,2","1,98",3.96,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
37.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,4.0,0.0,4.0,1,1,",000448",",000448",0.001792,304,01.04.2021,249.0,Мультиплексоры,0,4.0,2021.0
38.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,400.0,0.0,400.0,",063",",062",",051",",000199174",0.0796696,304,01.04.2021,238.0,АФУ,0,4.0,2021.0
39.0,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,2.0,0.0,2.0,",4",",6",",2",,,304,01.04.2021,160.0,РРЛ,0,4.0,2021.0
40.0,161.346.000136,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB A, Low",штука,1.0,0.0,1.0,",37",",37",",17",",023273",0.023273,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
41.0,161.346.000137,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB A, High",штука,1.0,0.0,1.0,",37",",37",",17",",023273",0.023273,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
42.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,4.0,0.0,4.0,",38",",23",",1",",00874",0.03496,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
43.0,157.346.000121,Антенна РРЛ Huawei 18Ггц 0.6м для XMC-5D UHP Dual Polarization (A18D06MDD-3NX),штука,2.0,0.0,2.0,",7",",79",",35",",19355",0.3871,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
44.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,4.0,0.0,4.0,1,1,",000448",",000448",0.001792,304,01.04.2021,249.0,Мультиплексоры,0,4.0,2021.0
45.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,120.0,0.0,120.0,",063",",062",",051",",000199174",0.02390088,304,01.04.2021,238.0,АФУ,0,4.0,2021.0
46.0,161.346.000100,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, High",штука,2.0,0.0,2.0,",1",",38",",58",",02204",0.04408,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
47.0,161.346.000099,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, Low",штука,2.0,0.0,2.0,",1",",38",",58",",02204",0.04408,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
48.0,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,4.0,0.0,4.0,",38",",1",",23",",00874",0.03496,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
